CategoryID (FK)	CategoryName	ProductName	SubType	Finish	Best For (Skin Concern)	Confidence	SkinConcernTag	ProductID (PK)	Image 1 (Primary)	Image 2	Image 3
CAT-06	Cleansers	Cerave Hydrating Facial Cleanser	Cleanser	Dry/Sensitive	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-120	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_2820.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_2820.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_2821.webp
CAT-06	Cleansers	Cerave Acne Foaming Cream Cleanser	Cleanser	Acne	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-121	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_2817.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_2818.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_2819.jpeg
CAT-14	Serum	Cerave Resurfacing Retinol Serum	Anti-Aging 	Serum	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-122	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_3055.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_3055.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_3056.webp
CAT-06	Cleansers	Neutrogena Oil Free Acne Wash Pink Grapefruit Foaming Scrub	Cleanser	Acne	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-123	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/01/IMG_1005-scaled.webp		
CAT-06	Cleansers	Neutrogena Oil Free Acne Wash Pink Grapefruit Facial Cleanser	Cleanser	Acne	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-124	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/01/IMG_0917.jpeg		
CAT-06	Cleansers	Neutrogena Oil Free Acne Wash with Salicylic Acid Fragrance Free	Cleanser	Acne	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-125	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/01/IMG_0916.jpeg		
CAT-17	Treatment	Zapzyt Acne Treatment Gel	Treatment	Acne	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-126	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/10/275F130E-5DC0-478A-BACA-CDB1306ABF76.jpeg		
CAT-17	Treatment	Touch Acne Treatment Gel	Treatment	Acne	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-127	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Touch-Acne-Treatment-Gel.jpg		
CAT-17	Treatment	Touch Bright and Clear Cream 2oz	Treatment	PIH	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-128	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Touch-Bright-And-Clear-Cream-2-Oz-56.7.webp		
CAT-17	Treatment	Touch Ingrown Hair Roll-On	Treatment	Ingrown hair	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-129	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Touch-Ingrown-Hair-Roll-On.webp		
CAT-07	Essence	Tiam Snail Azulence Water Essence 180ml	Essence	Soothing	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-130	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/Tiam-Snail-Azulence-Water-Essence-180Ml.jpg		
CAT-14	Serum	Tiam Vita B3 Source 40ml	Serum	Niacinamide/Oiliness	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-131	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/tiam-vita-b3-new.jpg		
CAT-16	Toner	Tiam Vita B3 Mist Toner 200ml	Toner	Niacinamide	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-132	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/02/6654.webp		
CAT-16	Toner	Tiam Vita B5 Toner	Toner	Hydrating	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-133	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/Tiam-b5-toner.webp		
CAT-12	Moisturizer	Tiam Alpha-5 Mela Care Cream	Moisturizer	PIH	Serums, toners, cleansers, Moisturizers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-134	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_1901.webp		
CAT-06	Cleansers	Tiam Snail & Azulene Low pH Cleanser	Cleanser	Soothing	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-135	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_1902.jpeg		
CAT-16	Toner	Tiam AC Fighting AHA BHA PHA Toner	Toner	Acne	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-136	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/11/1EB1BC9C-B7E7-48BB-8C93-D0841FC9CB0D.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/11/1EB1BC9C-B7E7-48BB-8C93-D0841FC9CB0D.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/11/B0C50021-1E5E-45F1-BCD1-061844112869.jpeg
CAT-14	Serum	Acwell 5.5 Licorice pH Balancing Advance Serum	Serum	PIH/Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-137	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/Acwell-5.5-Licorice-Ph-Balancing-Advance-Serum.webp		
CAT-16	Toner	Acwell 5.5 Licorice pH Balancing Cleansing Toner	Toner	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-138	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/FF211E21-8763-4C6A-8D2B-816F1323091F.jpeg		
CAT-16	Toner	Skin1004 Madagascar Centella Tone Brightening Boosting Toner	Toner	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-139	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/09/skin1004-toner-210ml-tone-brightening-boosting-toner-38642937135350_1440x.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/09/skin1004-toner-210ml-madagascar-centella-tone-brightening-boosting-toner-36440310350070_1440x.webp	
CAT-14	Serum	Skin1004 Madagascar Centella Tone Brightening Ampoule	Serum	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-140	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_1667.webp		
CAT-16	Toner	Missha Vita C Plus Brightening Toner 200ml	Toner	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-141	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/10/15C891E3-D1AB-4B20-AD80-1EAFEFEBBE71.webp		
CAT-10	Face Cream	Mary & May Tranexamic Eye Cream (Special Set, 2-pack)	Eye Cream	Anti-ageing	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-142	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/10/9CE7CA83-CCE4-40C6-AC6B-43C5B75BBA28.png		
CAT-12	Moisturizer	Dr Althea 345 Relief Cream	Moisturizer	Soothing	Serums, toners, cleansers, Moisturizers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-143	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_1947.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_1946.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_1947.jpeg
CAT-14	Serum	Dr Althea Gentle Vitamin C Serum	Serum	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-144	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/dr-althea-gentlevitamincserum.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/dr-althea-gentlevitamincserum.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/dr-althea-vit-c-20.webp
CAT-14	Serum	Jumiso Brightening & Balancing Facial Serum	Serum	PIH/Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-145	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/05/IMG_1666.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/05/IMG_1664.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/05/IMG_1665.webp
CAT-14	Serum	Haruharu Wonder Black Rice Hyaluronic Anti-Wrinkle Serum 50ml	Serum	Anti-ageing	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-146	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/Haruharu-Wonder-Black-Rice-Hyaluronic-Anti-Wrinkle-Serum-50Ml.webp		
CAT-06	Cleansers	Heimish All Clean Balm (additional)	Cleanser	All skin	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-147	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/Heimish-All-Clean-Balm.jpg		
CAT-17	Treatment	Ezanic Azelaic Acid Gel 20% 15g	Treatment	Acne/PIH	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-148	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/Ezanic-Azelaic-Acid-Gel.jpg		
CAT-17	Treatment	Kojivit Ultra Gel 30g	Treatment	PIH	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-149	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/08/kojivit-Ultra-gel-30g.webp		
CAT-12	Moisturizer	E45 Cream	Moisturizer	Dry/Eczema	Serums, toners, cleansers, Moisturizers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-150	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/E45-Cream.jpeg		
CAT-12	Moisturizer	E45 Lotion	Moisturizer	Dry/Eczema	Serums, toners, cleansers, Moisturizers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-151	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/E45-Lotion.png		
CAT-12	Moisturizer	Simple Replenishing Rich Moisturizer 125ml	Moisturizer	Sensitive	Serums, toners, cleansers, Moisturizers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-152	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/Simple-Hydrating-Light-Moisturizer-125Ml.jpg		
CAT-17	Treatment	Bolden Dark Spot Fix	Treatment	PIH	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-153	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/12/IMG_9109.webp		
CAT-06	Cleansers	Bolden Skin Clarifying Cleanser	Cleanser	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-154	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/12/IMG_9302.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/12/Bolden_Clarifying_Cleanser_for_Oily_Skin_800x.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/12/Bolden_Skin_Clarifying_Cleanser_Lifestyle_V_800x.webp
CAT-12	Moisturizer	Bolden Brightening Moisturizer SPF 30	Moisturizer	Brightening/SPF	Serums, toners, cleansers, Moisturizers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-155	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/12/Bolden_Sunscreen_Moisturizer-WBH.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/12/Bolden_Sunscreen_Main_Benefit.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/12/Bolden_Sunscreen_Moisturizer.webp
CAT-16	Toner	Bolden Skin Brightening Toner	Toner	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-156	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/12/Bolden_Toner_For_All_Skin.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/12/best_exfoliating_toner_800x.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/12/Bolden_Toner_Fade_Dark_Spots_800x.webp
CAT-14	Serum	25pskyn Liqueur 1.69fl oz / 50ml	Serum	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-157	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/10/WhatsApp-Image-2025-11-12-at-13.57.44-2.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/10/WhatsApp-Image-2025-11-12-at-13.57.44-3.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/10/WhatsApp-Image-2025-11-12-at-13.57.48-1.jpeg
CAT-14	Serum	25pskyn Mandelactone 50ml	Serum	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-158	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/10/WhatsApp-Image-2025-11-12-at-13.57.48.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/10/WhatsApp-Image-2025-11-12-at-13.57.44-1.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/10/WhatsApp-Image-2025-11-12-at-13.57.48-1.jpeg
CAT-06	Cleansers	25pskyn Trio Pskyn Cleanser 250ml	Cleanser	Face wash	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-159	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_1853.jpeg		
CAT-14	Serum	Nineless B-Boost 1% Kojic Acid Serum 30ml	Serum	PIH	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-160	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/06/IMG_2662.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/06/IMG_2659.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/06/IMG_2661.jpeg
CAT-14	Serum	Nineless A-Control 10% Azelaic Acid Serum 30ml	Serum	Acne/PIH	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-161	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/06/IMG_2665.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/06/IMG_2654.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/06/IMG_2667.jpeg
CAT-14	Serum	Nineless MELA-PRO 5% Tranexamic Acid Serum 30ml	Serum	PIH	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-162	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/07/1_52632941-c63d-4549-a7fd-e405968ec15e_1024x1024@2x.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/07/4_931847f2-40e6-405a-9cd8-07fa1fd9cf98_1024x1024@2x.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/07/3_da29ebfe-d4e2-425e-b139-61cc48ed0e2c_1024x1024@2x.webp
CAT-14	Serum	FaceFacts Ceramide Repairing Serum Cream 30ml	Serum	Barrier repair	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-163	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/09/CBE1C014-7128-4FB4-B2BB-9E00DB6E2394.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/09/CBE1C014-7128-4FB4-B2BB-9E00DB6E2394.jpeg	
CAT-14	Serum	FaceFacts Vitamin C Brightening Facial Serum 30ml	Serum	Brightening	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-164	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/09/6BB39F7A-67BB-41E1-8437-5E2FD677182D.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/09/6BB39F7A-67BB-41E1-8437-5E2FD677182D.jpeg	
CAT-06	Cleansers	FaceFacts Ceramide Hydrating Gentle Cleanser 140ml	Cleanser	Barrier repair	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-165	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/09/D42F2130-0FE0-422C-BC15-9401AE6DCD95.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/09/D42F2130-0FE0-422C-BC15-9401AE6DCD95.jpeg	
CAT-14	Serum	FaceFacts Collagen & Q10 Replenishing Facial Serum	Serum	Anti-ageing	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-166	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/09/5F83FC9D-2CA3-45A2-B2D6-3745B55734A7.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/09/5F83FC9D-2CA3-45A2-B2D6-3745B55734A7.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/09/565A2EAB-4CD1-4999-B4E5-55B3498D0B19.jpeg
CAT-12	Moisturizer	Embryolisse Lait Cream Moisturizer	Moisturizer	All skin	Serums, toners, cleansers, Moisturizers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-167	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/08/Embryolisse.jpg		
CAT-12	Moisturizer	Elastalift Vitamin C + Turmeric Face Cream 1.75oz	Face Cream	Brightening	Serums, toners, cleansers, Moisturizers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-168	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/Elastalift-1.75Oz-Vitamin-C-Turmeric-Face-Cream.jpg		
CAT-14	Serum	Elastalift Brightening Vitamin C Anti-Ageing Face Serum 1.75oz	Anti-Aging 	Serum	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-169	https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/Elastalift-1.75Oz.-Brightening-Vitamin-C-Anti-Aging-Face-Serum.webp		
CAT-10	Face Cream	Elastalift Dark Circle Eye Cream (Collagen + Peptide)	Eye Cream	Anti-ageing	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-170	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/03/IMG_0924.jpeg		
CAT-14	Serum	ROC Derm Correxion Retinol Firming Serum Stick	Serum	Anti-ageing	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-171	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_2828.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_2828.webp	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_2829.webp
CAT-17	Treatment	Differin 0.1% Adapalene Gel Treatment 15g	Treatment	Acne	Serums, toners, cleansers, moisturisers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-172	https://wholesalebeautyhub.co.uk/wp-content/uploads/2026/02/IMG_2831.webp		
CAT-12	Moisturizer	ELF Holy Hydration! Face Cream Moisturizer SPF 30	Face Cream	SPF/Hydrating	Serums, toners, cleansers, Moisturizers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-173	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/03/IMG_0978.jpeg	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/03/IMG_0980.jpeg	
CAT-12	Moisturizer	Eucerin Eczema Relief Cream	Moisturizer	Eczema	Serums, toners, cleansers, Moisturizers, treatments for face	Medium	Acne, PIH, Dehydration, Ageing	PROD-174	https://wholesalebeautyhub.co.uk/wp-content/uploads/2025/12/IMG_9508.webp		
